ID,GENDER,AGE_PRD,HOM_PST_NO
3512,2,50PRD,130
3513,2,50PRD,
3514,2,50PRD,470
3515,1,50PRD,43
3516,2,50PRD,80
3517,2,50PRD,62
3518,1,50PRD,510
3519,1,50PRD,61
3520,2,50PRD,36
3521,1,50PRD,460
3522,1,50PRD,90
3523,1,50PRD,390
3524,2,50PRD,340
3525,1,50PRD,58
3526,1,50PRD,72
3527,2,50PRD,440
3528,2,50PRD,300
3529,1,50PRD,460
3530,1,50PRD,340
3531,2,50PRD,56
3532,2,50PRD,420
3533,1,50PRD,510
3534,2,50PRD,110
3535,2,50PRD,37
3536,2,50PRD,160
3537,1,50PRD,0
3538,1,50PRD,300
3539,1,50PRD,100
3540,2,50PRD,79
3541,2,50PRD,210
3542,2,50PRD,470
3543,1,50PRD,140
3544,1,50PRD,
3545,2,50PRD,57
3546,1,50PRD,40
3547,2,50PRD,55
3548,1,50PRD,13
3549,1,50PRD,17
3550,1,50PRD,69
3551,1,50PRD,480
3552,1,50PRD,130
3553,2,50PRD,60
3554,2,50PRD,340
3555,1,50PRD,60
3556,1,50PRD,420
3557,2,50PRD,110
3558,1,50PRD,0
3559,2,50PRD,100
3560,1,50PRD,33
3561,1,50PRD,130
3562,2,50PRD,100
3563,2,50PRD,130
3564,1,50PRD,120
3565,2,50PRD,75
3566,2,50PRD,300
3567,2,50PRD,510
3568,1,50PRD,220
3569,2,50PRD,420
3570,2,50PRD,130
3571,2,50PRD,55
3572,2,50PRD,55
3573,1,50PRD,40
3574,1,50PRD,62
3575,1,50PRD,
3576,1,50PRD,50
3577,2,50PRD,170
3578,1,50PRD,210
3579,1,50PRD,55
3580,1,50PRD,55
3581,2,50PRD,130
3582,2,50PRD,55
3583,2,50PRD,33
3584,2,50PRD,56
3585,1,50PRD,630
3586,2,50PRD,460
3587,1,50PRD,50
3588,2,50PRD,56
3589,1,50PRD,140
3590,2,50PRD,100
3591,1,50PRD,370
3592,2,50PRD,30
3593,2,50PRD,300
3594,2,50PRD,480
3595,2,50PRD,540
3596,2,50PRD,510
3597,1,50PRD,72
3598,1,50PRD,210
3599,2,50PRD,90
3600,1,50PRD,400
3601,2,50PRD,56
3602,1,50PRD,40
3603,2,50PRD,100
3604,2,50PRD,16
3605,1,50PRD,510
3606,2,50PRD,27
3607,2,50PRD,470
3608,2,50PRD,10
3609,2,50PRD,100
3610,2,50PRD,100
3611,2,50PRD,470
3612,2,50PRD,55
3613,1,50PRD,460
3614,1,50PRD,62
3615,2,50PRD,110
3616,2,50PRD,14
3617,1,50PRD,160
3618,1,50PRD,60
3619,2,50PRD,460
3620,1,50PRD,24
3621,1,50PRD,600
3622,1,50PRD,440
3623,2,50PRD,470
3624,1,50PRD,130
3625,1,50PRD,54
3626,2,50PRD,72
3627,1,50PRD,410
3628,2,50PRD,120
3629,2,50PRD,630
3630,2,50PRD,100
3631,1,50PRD,540
3632,1,50PRD,480
3633,2,50PRD,150
3634,2,50PRD,210
3635,2,50PRD,420
3636,1,50PRD,16
3637,1,50PRD,180
3638,2,50PRD,210
3639,1,50PRD,420
3640,1,50PRD,510
3641,2,50PRD,90
3642,2,50PRD,55
3643,2,50PRD,77
3644,2,50PRD,
3645,2,50PRD,100
3646,1,50PRD,130
3647,1,50PRD,62
3648,1,50PRD,30
3649,2,50PRD,58
3650,1,50PRD,56
3651,1,50PRD,470
3652,1,50PRD,480
3653,2,50PRD,460
3654,1,50PRD,60
3655,1,50PRD,80
3656,2,50PRD,510
3657,1,50PRD,56
3658,1,50PRD,17
3659,2,50PRD,350
3660,2,50PRD,150
3661,2,50PRD,620
3662,2,50PRD,470
3663,1,50PRD,140
3664,1,50PRD,
3665,2,50PRD,510
3666,2,50PRD,14
3667,1,50PRD,0
3668,1,50PRD,61
3669,1,50PRD,480
3670,1,50PRD,470
3671,1,50PRD,20
3672,2,50PRD,440
3673,1,50PRD,480
3674,1,50PRD,460
3675,2,50PRD,140
3676,2,50PRD,180
3677,2,50PRD,50
3678,2,50PRD,460
3679,2,50PRD,410
3680,1,50PRD,480
3681,1,50PRD,380
3682,2,50PRD,100
3683,2,50PRD,58
3684,1,50PRD,280
3685,1,50PRD,100
3686,1,50PRD,88
3687,1,50PRD,110
3688,2,50PRD,0
3689,2,50PRD,420
3690,2,50PRD,140
3691,1,50PRD,0
3692,1,50PRD,55
3693,1,50PRD,610
3694,2,50PRD,280
3695,2,50PRD,63
3696,2,50PRD,
3697,2,50PRD,210
3698,1,50PRD,62
3699,1,50PRD,55
3700,2,50PRD,110
3701,2,50PRD,470
3702,1,50PRD,130
3703,1,50PRD,550
3704,2,50PRD,36
3705,1,50PRD,58
3706,2,50PRD,500
3707,2,50PRD,370
3708,2,50PRD,510
3709,2,50PRD,13
3710,2,50PRD,20
3711,1,50PRD,
3712,2,50PRD,500
3713,2,50PRD,56
3714,1,50PRD,62
3715,1,50PRD,420
3716,2,50PRD,100
3717,1,50PRD,62
3718,1,50PRD,66
3719,2,50PRD,140
3720,2,50PRD,10
3721,1,50PRD,310
3722,2,50PRD,44
3723,1,50PRD,540
3724,2,50PRD,88
3725,2,50PRD,85
3726,1,50PRD,460
3727,2,50PRD,55
3728,2,50PRD,44
3729,2,50PRD,130
3730,1,50PRD,210
3731,2,50PRD,100
3732,1,50PRD,480
3733,1,50PRD,65
3734,2,50PRD,27
3735,1,50PRD,13
3736,1,50PRD,440
3737,2,50PRD,480
3738,2,50PRD,62
3739,2,50PRD,130
3740,1,50PRD,37
3741,2,50PRD,55
3742,1,50PRD,210
3743,1,50PRD,140
3744,2,50PRD,58
3745,2,50PRD,440
3746,2,50PRD,55
3747,2,50PRD,210
3748,2,50PRD,370
3749,2,50PRD,540
3750,2,50PRD,75
3751,2,50PRD,55
3752,2,50PRD,
3753,2,50PRD,460
3754,2,50PRD,420
3755,2,50PRD,130
3756,2,50PRD,440
3757,2,50PRD,55
3758,2,50PRD,100
3759,1,50PRD,50
3760,1,50PRD,43
3761,2,50PRD,55
3762,2,50PRD,55
3763,1,50PRD,100
3764,2,50PRD,460
3765,2,50PRD,210
3766,2,50PRD,500
3767,2,50PRD,66
3768,2,50PRD,86
3769,2,50PRD,460
3770,2,50PRD,16
3771,1,50PRD,65
3772,1,50PRD,510
3773,2,50PRD,25
3774,2,50PRD,440
3775,1,50PRD,82
3776,1,50PRD,
3777,2,50PRD,580
3778,2,50PRD,17
3779,2,50PRD,76
3780,2,50PRD,440
3781,1,50PRD,40
3782,2,50PRD,160
3783,2,50PRD,53
3784,2,50PRD,470
3785,2,50PRD,55
3786,2,50PRD,400
3787,2,50PRD,550
3788,1,50PRD,66
3789,1,50PRD,
3790,2,50PRD,460
3791,2,50PRD,69
3792,2,50PRD,55
3793,2,50PRD,400
3794,2,50PRD,400
3795,1,50PRD,20
3796,2,50PRD,180
3797,2,50PRD,400
3798,2,50PRD,100
3799,2,50PRD,100
3800,2,50PRD,340
3801,2,50PRD,160
3802,2,50PRD,400
3803,2,50PRD,62
3804,2,50PRD,150
3805,2,50PRD,400
3806,1,50PRD,460
3807,2,50PRD,470
3808,2,50PRD,610
3809,2,50PRD,470
3810,2,50PRD,43
3811,1,50PRD,
3812,2,50PRD,58
3813,2,50PRD,340
3814,2,50PRD,460
3815,1,50PRD,50
3816,1,50PRD,47
3817,2,50PRD,25
3818,2,50PRD,160
3819,2,50PRD,70
3820,2,50PRD,500
3821,2,50PRD,140
3822,2,50PRD,160
3823,2,50PRD,62
3824,2,50PRD,19
3825,2,50PRD,17
3826,2,50PRD,140
3827,1,50PRD,47
3828,2,50PRD,49
3829,2,50PRD,210
3830,2,50PRD,420
3831,1,50PRD,17
3832,2,50PRD,100
3833,2,50PRD,210
3834,2,50PRD,130
3835,1,50PRD,25
3836,1,50PRD,
3837,2,50PRD,100
3838,1,50PRD,440
3839,2,50PRD,400
3840,2,50PRD,460
3841,2,50PRD,62
3842,2,50PRD,10
3843,1,50PRD,460
3844,1,50PRD,610
3845,1,50PRD,480
3846,1,50PRD,140
3847,2,50PRD,57
3848,2,50PRD,51
3849,2,50PRD,460
3850,1,50PRD,
3851,1,50PRD,100
3852,2,50PRD,77
3853,2,50PRD,460
3854,1,50PRD,56
3855,2,50PRD,55
3856,2,50PRD,500
3857,1,50PRD,25
3858,2,50PRD,600
3859,2,50PRD,400
3860,2,50PRD,600
3861,2,50PRD,480
3862,1,50PRD,440
3863,2,50PRD,420
3864,2,50PRD,440
3865,2,50PRD,40
3866,1,50PRD,480
3867,1,50PRD,140
3868,2,50PRD,140
3869,2,50PRD,55
3870,2,50PRD,540
3871,1,50PRD,55
3872,2,50PRD,55
3873,1,50PRD,500
3874,1,50PRD,470
3875,1,50PRD,510
3876,2,50PRD,440
3877,2,50PRD,130
3878,2,50PRD,510
3879,1,50PRD,160
3880,1,50PRD,39
3881,2,50PRD,55
3882,2,50PRD,100
3883,2,50PRD,80
3884,2,50PRD,50
3885,1,50PRD,350
3886,2,50PRD,58
3887,1,50PRD,17
3888,2,50PRD,470
3889,1,50PRD,110
3890,1,50PRD,73
3891,1,50PRD,470
3892,2,50PRD,140
3893,1,50PRD,28
3894,1,50PRD,420
3895,1,50PRD,14
3896,1,50PRD,20
3897,2,50PRD,11
3898,1,50PRD,62
3899,2,50PRD,480
3900,2,50PRD,380
3901,2,50PRD,140
3902,1,50PRD,56
3903,2,50PRD,130
3904,2,50PRD,40
3905,2,50PRD,
3906,2,50PRD,470
3907,2,50PRD,510
3908,1,50PRD,76
3909,1,50PRD,510
3910,1,50PRD,550
3911,1,50PRD,62
3912,1,50PRD,180
3913,2,50PRD,57
3914,1,50PRD,100
3915,2,50PRD,390
3916,2,50PRD,210
3917,2,50PRD,520
3918,1,50PRD,220
3919,1,50PRD,480
3920,1,50PRD,37
3921,1,50PRD,56
3922,2,50PRD,
3923,1,50PRD,480
3924,1,50PRD,480
3925,2,50PRD,56
3926,1,50PRD,630
3927,2,50PRD,28
3928,1,50PRD,440
3929,2,50PRD,45
3930,1,50PRD,51
3931,2,50PRD,470
3932,2,50PRD,47
3933,1,50PRD,130
3934,1,50PRD,210
3935,1,50PRD,540
3936,2,50PRD,57
3937,2,50PRD,110
3938,2,50PRD,73
3939,1,50PRD,
3940,1,50PRD,100
3941,2,50PRD,150
3942,2,50PRD,17
3943,1,50PRD,440
3944,1,50PRD,60
3945,2,50PRD,55
3946,2,50PRD,90
3947,2,50PRD,440
3948,1,50PRD,500
3949,2,50PRD,75
3950,1,50PRD,460
3951,2,50PRD,54
3952,2,50PRD,160
3953,2,50PRD,63
3954,1,50PRD,470
3955,1,50PRD,310
3956,2,50PRD,51
3957,2,50PRD,130
3958,1,50PRD,470
3959,1,50PRD,130
3960,2,50PRD,55
3961,2,50PRD,40
3962,1,50PRD,41
3963,1,50PRD,100
3964,1,50PRD,88
3965,2,50PRD,470
3966,1,50PRD,460
3967,1,50PRD,440
3968,2,50PRD,56
3969,2,50PRD,43
3970,1,50PRD,140
3971,2,50PRD,210
3972,2,50PRD,20
3973,2,50PRD,100
3974,2,50PRD,610
3975,1,50PRD,47
3976,1,50PRD,110
3977,1,50PRD,460
3978,1,50PRD,55
3979,1,50PRD,440
3980,2,50PRD,500
3981,2,50PRD,560
3982,1,50PRD,450
3983,2,50PRD,460
3984,2,50PRD,37
3985,1,50PRD,420
3986,1,50PRD,470
3987,1,50PRD,420
3988,1,50PRD,57
3989,1,50PRD,37
3990,1,50PRD,500
3991,2,50PRD,62
3992,2,50PRD,510
3993,1,50PRD,130
3994,1,50PRD,62
3995,2,50PRD,110
3996,1,50PRD,57
3997,1,50PRD,160
3998,2,50PRD,470
3999,2,50PRD,100
4000,1,50PRD,50
4001,2,50PRD,140
4002,2,50PRD,460
4003,2,50PRD,63
4004,1,50PRD,370
4005,1,50PRD,150
4006,1,50PRD,570
4007,1,50PRD,110
4008,2,50PRD,56
4009,2,50PRD,160
4010,2,50PRD,610
4011,1,50PRD,280
4012,2,50PRD,50
4013,2,50PRD,100
4014,1,50PRD,58
4015,2,50PRD,60
4016,1,50PRD,470
4017,1,50PRD,66
4018,2,50PRD,62
4019,2,50PRD,52
4020,2,50PRD,210
4021,2,50PRD,60
4022,2,50PRD,230
4023,2,50PRD,80
4024,1,50PRD,100
4025,1,50PRD,47
4026,2,50PRD,33
4027,2,50PRD,62
4028,1,50PRD,85
4029,2,50PRD,460
4030,2,50PRD,470
4031,1,50PRD,33
4032,1,50PRD,440
4033,2,50PRD,47
4034,2,50PRD,55
4035,2,50PRD,130
4036,2,50PRD,280
4037,2,50PRD,140
4038,1,50PRD,100
4039,1,50PRD,60
4040,2,50PRD,570
4041,1,50PRD,72
4042,1,50PRD,460
4043,2,50PRD,490
4044,2,50PRD,10
4045,1,50PRD,66
4046,1,50PRD,110
4047,1,50PRD,
4048,1,50PRD,100
4049,2,50PRD,25
4050,2,50PRD,120
4051,1,50PRD,67
4052,1,50PRD,79
4053,2,50PRD,220
4054,1,50PRD,72
4055,1,50PRD,510
4056,2,50PRD,470
4057,2,50PRD,62
4058,2,50PRD,440
4059,1,50PRD,440
4060,2,50PRD,55
4061,2,50PRD,66
4062,2,50PRD,90
4063,2,50PRD,39
4064,2,50PRD,24
4065,1,50PRD,600
4066,2,50PRD,56
4067,2,50PRD,500
4068,2,50PRD,490
4069,2,50PRD,460
4070,1,50PRD,130
4071,1,50PRD,100
4072,2,50PRD,420
3026,2,50PRD,110
3027,1,50PRD,17
3028,2,50PRD,110
3029,1,50PRD,540
3030,2,50PRD,370
3031,2,50PRD,
3032,2,50PRD,500
3033,2,50PRD,76
3034,2,50PRD,420
3035,2,50PRD,
3036,2,50PRD,110
3037,1,50PRD,540
3038,1,50PRD,610
3039,1,50PRD,28
3040,2,50PRD,470
3041,2,50PRD,460
3042,2,50PRD,570
3043,2,50PRD,
3044,1,50PRD,82
3045,2,50PRD,55
3046,2,50PRD,100
3047,1,50PRD,17
3048,1,50PRD,25
3049,2,50PRD,57
3050,2,50PRD,100
3051,1,50PRD,52
3052,2,50PRD,47
3053,2,50PRD,400
3054,1,50PRD,120
3055,1,50PRD,490
3056,2,50PRD,100
3057,2,50PRD,56
3058,1,50PRD,140
3059,1,50PRD,340
3060,1,50PRD,65
3061,1,50PRD,57
3062,2,50PRD,460
3063,2,50PRD,520
3064,2,50PRD,110
3065,2,50PRD,90
3066,2,50PRD,340
3067,1,50PRD,100
3068,1,50PRD,540
3069,1,50PRD,500
3070,2,50PRD,27
3071,2,50PRD,30
3072,1,50PRD,80
4097,1,50PRD,55
4098,2,50PRD,
4099,2,50PRD,150
4100,1,50PRD,56
4101,2,50PRD,55
4102,2,50PRD,90
4103,1,50PRD,440
4104,2,50PRD,53
4105,2,50PRD,40
4106,2,50PRD,160
4107,1,50PRD,100
4108,1,50PRD,340
4109,2,50PRD,55
4110,2,50PRD,17
4111,1,50PRD,470
4112,2,50PRD,37
4113,2,50PRD,41
4114,2,50PRD,250
4115,2,50PRD,480
4116,2,50PRD,470
4117,2,50PRD,150
4118,1,50PRD,80
4119,1,50PRD,170
4120,2,50PRD,56
4121,2,50PRD,10
5240,2,40PRD,210
5241,1,40PRD,510
5242,2,40PRD,100
5243,2,40PRD,100
5244,2,40PRD,510
5245,1,40PRD,100
5246,1,40PRD,45
5247,2,40PRD,320
5248,2,40PRD,460
5249,2,40PRD,55
5250,1,40PRD,510
5251,1,40PRD,280
5252,2,40PRD,130
5253,1,40PRD,340
5254,1,40PRD,85
5255,2,40PRD,100
5256,1,40PRD,220
5257,2,40PRD,57
5258,2,40PRD,110
5259,2,40PRD,440
5260,2,40PRD,480
5261,1,40PRD,210
5262,1,40PRD,220
5263,2,40PRD,510
5264,2,40PRD,220
5265,2,40PRD,210
5266,1,40PRD,100
5267,2,40PRD,400
5268,2,40PRD,49
5269,2,40PRD,44
5270,2,40PRD,460
5271,1,40PRD,470
5272,1,40PRD,55
5273,2,40PRD,17
5274,1,40PRD,10
5275,1,40PRD,480
5276,1,40PRD,170
5277,2,40PRD,160
5278,2,40PRD,80
5279,1,40PRD,18
5280,1,40PRD,400
5281,2,40PRD,51
5282,2,40PRD,320
5283,2,40PRD,25
5284,1,40PRD,110
5285,2,40PRD,630
5286,2,40PRD,160
5287,1,40PRD,60
5288,1,40PRD,80
5289,2,40PRD,55
5290,2,40PRD,16
5291,2,40PRD,470
5292,2,40PRD,40
5293,2,40PRD,55
5294,2,40PRD,270
5295,1,40PRD,55
5296,1,40PRD,370
5297,2,40PRD,110
5298,1,40PRD,56
5299,1,40PRD,73
5300,2,40PRD,210
5301,2,40PRD,480
5302,1,40PRD,180
5303,2,40PRD,69
5304,1,40PRD,540
5305,2,40PRD,14
5306,2,40PRD,33
5307,2,40PRD,62
5308,1,40PRD,180
5309,2,40PRD,55
1025,2,60PRD,30
1026,2,60PRD,210
1027,1,60PRD,55
1028,1,60PRD,130
1029,2,60PRD,
1030,1,60PRD,510
1031,2,60PRD,100
1032,2,60PRD,62
1033,2,60PRD,490
1034,2,60PRD,480
1035,2,60PRD,51
1036,2,60PRD,55
1037,1,60PRD,73
1038,2,60PRD,55
1039,1,60PRD,140
1040,2,60PRD,110
1041,2,60PRD,55
1042,1,60PRD,100
1043,1,60PRD,100
1044,2,60PRD,440
1045,2,60PRD,460
1046,2,60PRD,160
1047,2,60PRD,480
1048,1,60PRD,55
5359,2,40PRD,55
5360,1,40PRD,33
5361,2,40PRD,100
5362,2,40PRD,67
5363,1,40PRD,180
5364,1,40PRD,120
5365,1,40PRD,76
5366,2,40PRD,540
5367,2,40PRD,90
5368,1,40PRD,160
5369,1,40PRD,10
5370,1,40PRD,17
5371,1,40PRD,160
5372,1,40PRD,530
5373,2,40PRD,90
5374,2,40PRD,610
5375,2,40PRD,440
5376,1,40PRD,0
5377,2,40PRD,170
5378,2,40PRD,550
5379,1,40PRD,480
5380,1,40PRD,160
5381,2,40PRD,140
5382,1,40PRD,440
5383,2,40PRD,110
5384,2,40PRD,490
5385,1,40PRD,80
5386,2,40PRD,280
5387,2,40PRD,490
5388,2,40PRD,420
5389,1,40PRD,52
5390,2,40PRD,410
5391,1,40PRD,340
5392,1,40PRD,460
5393,2,40PRD,160
5394,2,40PRD,34
5395,1,40PRD,500
5396,1,40PRD,10
5397,2,40PRD,510
5398,1,40PRD,0
5399,2,40PRD,140
5400,2,40PRD,62
5401,1,40PRD,470
5402,1,40PRD,480
5403,2,40PRD,56
5404,1,40PRD,79
5405,2,40PRD,210
5406,2,40PRD,350
5407,2,40PRD,600
5408,1,40PRD,100
5409,2,40PRD,20
5410,2,40PRD,210
5411,2,40PRD,210
5412,2,40PRD,370
5413,2,40PRD,76
5414,2,40PRD,420
5415,2,40PRD,610
5416,2,40PRD,130
5417,2,40PRD,58
5418,1,40PRD,12
5419,2,40PRD,170
5420,2,40PRD,49
5421,2,40PRD,55
5422,1,40PRD,180
5423,2,40PRD,
5424,2,40PRD,580
5425,1,40PRD,140
5426,1,40PRD,130
5427,1,40PRD,62
5428,2,40PRD,100
5429,2,40PRD,56
5430,2,40PRD,53
5431,1,40PRD,62
5432,2,40PRD,63
5433,2,40PRD,47
5434,2,40PRD,100
5435,1,40PRD,140
5436,2,40PRD,150
5437,2,40PRD,610
5438,2,40PRD,210
5439,1,40PRD,150
5440,2,40PRD,55
5441,2,40PRD,130
5442,1,40PRD,140
5443,2,40PRD,440
5444,2,40PRD,
5445,2,40PRD,45
5446,2,40PRD,150
5447,1,40PRD,180
5448,1,40PRD,160
5449,1,40PRD,63
5450,1,40PRD,350
5451,1,40PRD,160
5452,2,40PRD,87
5453,2,40PRD,55
5454,2,40PRD,14
5455,2,40PRD,41
5456,1,40PRD,160
5457,1,40PRD,110
5458,2,40PRD,340
5459,2,40PRD,47
5460,1,40PRD,100
5461,2,40PRD,17
5462,2,40PRD,24
5463,2,40PRD,160
5464,2,40PRD,400
5465,2,40PRD,45
5466,1,40PRD,460
5467,2,40PRD,30
5468,2,40PRD,56
5469,1,40PRD,25
5470,1,40PRD,270
5471,2,40PRD,47
5472,2,40PRD,69
5473,2,40PRD,76
5474,2,40PRD,460
5475,1,40PRD,210
5476,2,40PRD,72
5477,2,40PRD,160
5478,2,40PRD,62
5479,1,40PRD,100
5480,1,40PRD,480
5481,2,40PRD,100
5482,2,40PRD,460
5483,2,40PRD,610
5484,2,40PRD,350
5485,1,40PRD,470
5486,2,40PRD,110
5487,2,40PRD,100
5488,2,40PRD,150
5489,2,40PRD,490
5490,2,40PRD,80
5491,2,40PRD,62
5492,1,40PRD,43
5493,1,40PRD,63
5494,2,40PRD,55
5495,2,40PRD,210
5496,1,40PRD,72
5497,2,40PRD,100
5498,2,40PRD,160
5499,1,40PRD,20
5500,2,40PRD,460
5501,2,40PRD,470
5502,2,40PRD,370
5503,2,40PRD,620
5504,1,40PRD,510
5505,2,40PRD,56
5506,1,40PRD,13
5507,2,40PRD,82
5508,2,40PRD,55
5509,2,40PRD,86
5510,2,40PRD,520
5511,1,40PRD,130
5512,1,40PRD,410
5513,2,40PRD,560
5514,1,40PRD,210
5515,2,40PRD,220
5516,1,40PRD,17
5517,2,40PRD,130
5518,2,40PRD,10
5519,1,40PRD,130
5520,2,40PRD,69
5521,2,40PRD,41
5522,2,40PRD,600
5523,1,40PRD,19
5524,1,40PRD,40
5525,2,40PRD,540
5526,2,40PRD,510
5527,2,40PRD,33
5528,1,40PRD,100
5529,1,40PRD,53
5530,1,40PRD,45
5531,2,40PRD,490
5532,2,40PRD,160
5533,2,40PRD,580
5534,2,40PRD,480
5535,2,40PRD,62
5536,2,40PRD,40
5537,2,40PRD,
5538,2,40PRD,30
5539,2,40PRD,420
5540,1,40PRD,380
5541,1,40PRD,460
5542,2,40PRD,17
5543,2,40PRD,460
5544,2,40PRD,56
5545,2,40PRD,27
5546,2,40PRD,55
5547,1,40PRD,160
5548,1,40PRD,
5549,1,40PRD,17
5550,1,40PRD,450
5551,2,40PRD,20
5552,2,40PRD,58
5553,2,40PRD,470
5554,2,40PRD,75
5555,1,40PRD,80
5556,2,40PRD,210
5557,1,40PRD,100
5558,1,40PRD,55
5559,1,40PRD,130
5560,1,40PRD,16
5561,2,40PRD,55
5562,1,40PRD,80
5563,2,40PRD,51
5564,1,40PRD,
5565,2,40PRD,480
5566,2,40PRD,100
5567,2,40PRD,0
5568,2,40PRD,57
5569,2,40PRD,10
5570,1,40PRD,370
5571,2,40PRD,37
5572,1,40PRD,25
5573,2,40PRD,400
5574,2,40PRD,280
5575,2,40PRD,470
5576,2,40PRD,500
5577,2,40PRD,55
5578,1,40PRD,47
5579,2,40PRD,26
5580,1,40PRD,65
5581,2,40PRD,56
5582,2,40PRD,340
5583,1,40PRD,460
5584,2,40PRD,160
5585,2,40PRD,58
5586,2,40PRD,460
5587,1,40PRD,590
5588,1,40PRD,500
5589,2,40PRD,120
5590,2,40PRD,110
5591,1,40PRD,87
5592,2,40PRD,140
5593,2,40PRD,24
5594,2,40PRD,440
5595,1,40PRD,140
5596,1,40PRD,100
5597,1,40PRD,540
5598,2,40PRD,300
5599,2,40PRD,140
5600,2,40PRD,100
5601,2,40PRD,62
5602,2,40PRD,220
5603,2,40PRD,33
5604,2,40PRD,58
5605,2,40PRD,76
5606,2,40PRD,140
5607,2,40PRD,37
5608,2,40PRD,14
5609,1,40PRD,63
5610,1,40PRD,12
5611,1,40PRD,100
5612,2,40PRD,25
5613,2,40PRD,80
5614,2,40PRD,160
5615,2,40PRD,100
5616,1,40PRD,510
5617,1,40PRD,480
5618,2,40PRD,130
5619,1,40PRD,160
5620,1,40PRD,370
5621,2,40PRD,110
5622,2,40PRD,56
5623,1,40PRD,13
5624,1,40PRD,500
5625,2,40PRD,440
5626,2,40PRD,55
5627,2,40PRD,13
5628,2,40PRD,460
5629,1,40PRD,140
5630,1,40PRD,170
5631,2,40PRD,470
5632,2,40PRD,44
5633,1,40PRD,27
5634,2,40PRD,420
5635,1,40PRD,160
5636,2,40PRD,140
5637,2,40PRD,120
5638,1,40PRD,210
5639,1,40PRD,220
5640,1,40PRD,55
5641,2,40PRD,39
5642,1,40PRD,140
5643,2,40PRD,58
5644,2,40PRD,440
5645,2,40PRD,130
5646,2,40PRD,610
5647,2,40PRD,55
5648,2,40PRD,120
5649,1,40PRD,210
5650,2,40PRD,480
5651,2,40PRD,570
5652,1,40PRD,540
5653,2,40PRD,180
5654,2,40PRD,100
5655,1,40PRD,140
5656,2,40PRD,13
5657,2,40PRD,140
5658,2,40PRD,610
5659,2,40PRD,610
5660,2,40PRD,60
5661,2,40PRD,120
5662,2,40PRD,18
5663,2,40PRD,100
5664,2,40PRD,210
5665,2,40PRD,130
5666,2,40PRD,62
5667,1,40PRD,79
5668,2,40PRD,350
5669,2,40PRD,460
5670,1,40PRD,220
5671,1,40PRD,66
5672,2,40PRD,510
5673,1,40PRD,50
5674,2,40PRD,100
5675,1,40PRD,37
5676,2,40PRD,150
5677,1,40PRD,100
5678,2,40PRD,53
5679,2,40PRD,58
5680,2,40PRD,34
5681,2,40PRD,470
5682,1,40PRD,440
5683,1,40PRD,60
5684,1,40PRD,40
5685,2,40PRD,0
5686,2,40PRD,55
5687,2,40PRD,67
5688,2,40PRD,220
5689,2,40PRD,100
5690,1,40PRD,0
5691,1,40PRD,100
5692,2,40PRD,18
5693,2,40PRD,
5694,1,40PRD,300
5695,2,40PRD,40
5696,1,40PRD,17
5697,2,40PRD,480
5698,2,40PRD,65
5699,1,40PRD,120
5700,2,40PRD,47
5701,1,40PRD,18
5702,1,40PRD,57
5703,2,40PRD,56
5704,2,40PRD,16
5705,1,40PRD,52
5706,1,40PRD,47
5707,1,40PRD,510
5708,2,40PRD,220
5709,1,40PRD,480
5710,2,40PRD,75
5711,2,40PRD,210
5712,2,40PRD,130
5713,1,40PRD,130
5714,1,40PRD,140
5715,2,40PRD,100
5716,2,40PRD,55
5717,2,40PRD,100
5718,1,40PRD,440
5719,1,40PRD,76
5720,1,40PRD,25
5721,2,40PRD,110
5722,2,40PRD,83
5723,2,40PRD,73
5724,2,40PRD,36
5725,1,40PRD,440
5726,2,40PRD,300
5727,2,40PRD,55
5728,1,40PRD,140
5729,2,40PRD,24
5730,1,40PRD,82
5731,2,40PRD,130
5732,1,40PRD,460
5733,2,40PRD,43
5734,2,40PRD,530
5735,2,40PRD,440
5736,1,40PRD,53
5737,2,40PRD,53
5738,2,40PRD,310
5739,1,40PRD,76
5740,2,40PRD,72
5741,2,40PRD,69
5742,2,40PRD,490
5743,2,40PRD,100
5744,2,40PRD,100
5745,2,40PRD,420
5746,1,40PRD,66
5747,2,40PRD,530
5748,2,40PRD,28
5749,1,40PRD,620
5750,1,40PRD,220
5751,2,40PRD,79
5752,2,40PRD,420
5753,1,40PRD,90
5754,1,40PRD,55
5755,2,40PRD,440
5756,2,40PRD,100
5757,1,40PRD,350
5758,2,40PRD,150
5759,1,40PRD,130
5760,1,40PRD,480
5761,1,40PRD,460
5762,2,40PRD,65
5763,2,40PRD,460
5764,2,40PRD,610
5765,2,40PRD,540
5766,1,40PRD,100
5767,1,40PRD,470
5768,1,40PRD,470
5769,2,40PRD,550
5770,2,40PRD,0
5771,2,40PRD,210
5772,2,40PRD,57
5773,1,40PRD,87
5774,2,40PRD,52
5775,2,40PRD,65
5776,2,40PRD,58
5777,2,40PRD,470
5778,2,40PRD,590
5779,2,40PRD,520
5780,1,40PRD,520
5781,2,40PRD,510
5782,2,40PRD,470
5783,1,40PRD,28
5784,2,40PRD,300
5785,2,40PRD,130
5786,2,40PRD,55
5787,2,40PRD,18
5788,2,40PRD,62
5789,2,40PRD,620
5790,1,40PRD,45
5791,1,40PRD,55
5792,1,40PRD,130
5793,2,40PRD,170
5794,1,40PRD,55
5795,2,40PRD,470
5796,1,40PRD,130
5797,2,40PRD,58
