SEQ,RCT_NO,BIZ_UNIT,PD_S_C,BR_C,DE_DT,DE_HR,BUY_AM,BUY_CT
13866,46200,A03,509,63,20150805,14,5040,6
15735,104726,A02,60,13,20150822,17,1030,1
8841,238138,A02,1314,83,20150218,10,1300,1
4493,51303,A01,145,2,20150115,16,32000,1
8634,281604,A02,63,103,20150802,14,5300,2
15803,148599,A03,895,532,20150831,18,3990,1
8933,137717,A02,1219,18,20150722,13,11980,2
9957,73994,A01,137,20,20150111,16,45000,1
17638,167678,A02,1195,32,20150213,15,1380,1
11607,52681,A01,82,2,20151023,10,1000,1
4068,288951,A02,887,106,20150722,14,6900,1
17166,261732,A02,679,92,20150423,21,350,1
413,16061,A02,1239,7,20141230,11,4900,2
5879,228281,A02,1433,73,20151128,22,1980,1
15152,55528,A02,1222,7,20150921,16,2970,3
1442,104437,A02,915,13,20150817,19,1800,2
6789,72195,A02,1188,8,20150629,13,1000,1
7807,44635,A04,57,632,20150812,7,900,1
6067,68242,A03,296,106,20150621,19,2090,1
8037,81115,A03,776,116,20151004,17,440,1
2942,164079,A01,83,1,20151031,12,3680,1
4209,25175,A03,776,363,20151227,13,740,1
2457,3748,A02,987,3,20150618,14,2990,1
2742,286256,A02,198,106,20150410,13,4600,1
17100,40366,A01,164,20,20150709,18,50400,1
4769,263749,A02,1437,93,20150207,15,5760,2
8552,154259,A03,625,297,20150301,11,6150,1
16547,285659,A02,528,106,20150317,22,3180,1
6398,247758,A02,1437,86,20151103,16,3350,1
6472,184491,A02,810,42,20150728,18,13700,1
4582,53174,A04,125,2670,20150913,11,900,1
1329,119891,A03,661,252,20150127,21,29900,1
14661,104947,A01,421,10,20150424,16,99000,1
5674,9044,A02,1452,5,20150907,12,13490,1
2534,118945,A01,214,2,20150422,18,108000,2
7178,33469,A03,23,21,20150928,17,1979,1
10034,241834,A01,21,2,20150321,12,2980,1
11524,71271,A03,68,107,20150518,17,3350,1
5963,119582,A01,124,2,20150825,13,27500,1
12099,24391,A01,138,45,20150305,20,12800,1
4423,276155,A02,17,98,20150627,12,3000,3
9210,15347,A01,145,2,20151013,11,32000,1
15824,152169,A03,627,290,20150320,17,1000,1
9536,436463,A01,82,12,20151004,17,4000,4
17693,47918,A02,924,7,20150801,17,9900,1
9584,298061,A02,71,110,20150305,14,31800,2
3235,105263,A02,798,13,20150903,15,12874,432
355,211356,A02,635,57,20150521,22,10000,1
2342,63253,A03,487,94,20150904,16,1820,2
9208,63572,A02,1449,7,20151120,22,5000,1
14657,8593,A01,316,2,20150113,16,90000,1
1604,10453,A02,1153,6,20150301,17,28800,288
2933,159193,A03,454,307,20150707,12,1500,1
2320,23490,A02,1618,7,20150218,15,2200,1
4348,474586,A01,13,4,20150822,20,2400,2
2284,267464,A02,1079,93,20151107,19,3200,1
2227,118523,A01,426,29,20150928,14,109000,1
15826,309749,A02,218,118,20150516,13,2480,1
7039,25846,A02,695,7,20150307,18,4000,1
16339,290304,A02,1301,106,20150906,21,3180,1
5166,330333,A01,454,2,20150813,16,5140000,1
2147,100720,A03,526,180,20150211,18,5980,1
8156,147321,A02,62,21,20150507,21,30960,1
1550,23475,A02,855,7,20150218,14,30564,1132
16942,186583,A02,1388,43,20150810,11,2900,1
4740,9040,A01,437,15,20150830,16,68000,1
5136,105445,A02,1620,13,20150906,18,1000,1
1160,210177,A02,1245,56,20151107,17,3380,1
3843,294455,A02,583,107,20150813,18,1000,1
5034,12655,A04,145,1959,20150320,20,900,1
1398,283906,A02,1232,106,20150108,17,3170,1
4684,163604,A02,20,29,20151226,16,2560,2
10917,266185,A02,521,93,20150801,19,5860,2
8264,152619,A03,895,291,20150530,10,5000,5
1489,130542,A03,486,326,20150916,21,3380,1
3005,122618,A02,1225,16,20150425,10,2060,1
17540,68489,A03,618,107,20150102,15,5900,1
866,39827,A02,1616,7,20150609,21,19500,3
5387,291947,A02,1348,106,20151114,18,37500,1
2300,8491,A02,265,5,20150428,20,4990,1
16231,416190,A01,57,2,20150925,15,49000,1
4819,43135,A04,242,2659,20150806,15,2150,1
4096,26318,A01,223,29,20150809,15,90300,1
2199,142576,A01,570,2,20150103,15,3610,1
13440,48171,A04,51,1339,20150825,7,1000,1
10681,302984,A02,380,113,20150912,14,5000,5
2385,78940,A02,1442,9,20150724,13,5040,2
296,156983,A03,407,301,20150911,16,2990,1
12516,120284,A02,47,16,20150306,20,7400,1
5453,13191,A02,1083,6,20150725,11,3200,1
934,290447,A02,1217,106,20150912,12,3000,1
9727,305370,A02,1248,114,20150909,12,1900,2
4571,47373,A03,81,67,20150416,21,7500,3
11344,116912,A03,492,243,20150919,20,1990,1
1740,75990,A02,970,9,20150202,20,7200,6
963,93417,A02,896,13,20150107,11,4280,1
1000,441191,A01,37,17,20150313,16,10000,1
9024,39583,A03,526,37,20150204,18,5950,1
8021,71923,A04,284,2114,20151203,15,1200,1
5143,49780,A03,403,68,20150305,18,1980,2
5938,149182,A02,47,23,20150728,14,1980,1
6649,11012,A02,1620,6,20150330,15,1000,1
3525,99919,A02,6,13,20150520,15,1500,1
6842,265959,A02,998,93,20150715,15,6900,1
6485,70728,A03,776,107,20150423,16,180,1
10653,429902,A01,206,1,20150228,19,59000,1
9824,157884,A02,601,26,20150508,21,29000,1
8850,229489,A01,107,3,20150613,14,17000,1
1448,64341,A02,1067,7,20151126,13,1880,1
9489,147007,A02,969,21,20150307,20,3900,1
1945,121397,A02,1209,16,20150329,19,3420,1
8166,312845,A01,125,21,20151220,15,5500,1
457,203,A01,467,2,20150621,10,40000,1
3079,59699,A02,480,7,20151023,21,39900,1
6476,168977,A02,538,32,20150710,12,4180,1
6640,24302,A03,494,340,20151218,21,2700,1
6621,34644,A02,1188,7,20150506,21,750,1
11391,400795,A01,210,26,20150918,19,59900,1
13889,47609,A03,68,67,20151026,19,3590,1
11658,86212,A03,15,131,20151028,12,2000,2
4779,49553,A04,1,2578,20150830,15,800,1
16154,139602,A02,1432,19,20150304,18,1440,1
19013,21735,A02,1437,7,20150207,15,2880,1
9492,29380,A01,164,6,20150205,17,83000,1
3988,19920,A01,575,35,20150614,11,82600,1
11475,18487,A04,134,4249,20150420,20,1300,1
14016,40917,A04,353,81,20150729,8,3300,1
12110,148394,A03,505,372,20150710,21,500,1
6260,460392,A01,438,20,20150314,19,38000,2
2248,153589,A03,68,295,20150319,18,1490,1
12868,223773,A02,132,70,20150701,21,2550,1
17838,68015,A03,505,105,20150702,22,2400,6
4939,112438,A03,506,227,20150114,13,1000,2
10397,9610,A03,29,69,20151209,17,1000,1
5715,150461,A02,1444,24,20150522,18,3980,1
13472,42490,A03,486,47,20150214,17,2980,1
6931,162411,A02,395,29,20150816,11,9000,9
1715,326733,A01,24,3,20150728,17,122500,7
4939,242277,A02,1486,84,20150606,21,7980,1
10589,11808,A04,57,2939,20150315,17,1000,1
4401,3814,A03,494,1,20151210,21,2980,1
9091,131144,A03,180,327,20150827,16,5000,1
14238,50913,A04,131,2342,20150904,7,1200,1
7908,74288,A01,145,23,20150313,18,220000,1
10348,208545,A02,48,56,20150130,14,3680,1
5013,42627,A03,411,47,20150607,17,1990,1
6526,50316,A02,1047,7,20150816,17,4680,1
5380,120938,A03,403,482,20150528,20,1490,1
9967,33238,A02,1056,7,20150428,18,1780,1
3734,441196,A01,55,24,20150603,18,2600,1
17385,111688,A03,478,223,20150416,21,2600,2
3055,237135,A02,1434,82,20150924,18,1500,1
9445,16477,A01,189,39,20150822,14,175000,1
13732,131832,A02,1413,16,20151013,20,19000,1
8898,180622,A02,897,40,20150705,20,3900,1
6906,44333,A02,1447,7,20150709,18,19800,1
14714,117314,A03,494,246,20150906,12,2800,1
2372,64856,A04,288,3029,20151031,9,850,1
8320,182402,A01,15,1,20150719,14,7740,1
18138,50508,A04,1,676,20150903,10,800,1
4501,15287,A03,470,144,20151217,21,4000,2
7079,235973,A02,1300,82,20150123,13,2500,2
3602,310097,A02,91,118,20150828,20,2450,1
9626,25361,A03,191,369,20151127,16,4980,1
16145,51998,A04,140,4683,20150908,13,500,1
4505,304709,A01,208,2,20150607,20,98000,1
5034,71483,A02,987,8,20150520,20,5500,1
11736,29486,A01,216,15,20151008,14,20860,1
1961,16717,A02,1611,7,20150103,18,11500,1
13222,224246,A02,879,70,20150814,21,14858,646
10531,7821,A02,876,4,20151211,16,15183,763
13938,453015,A01,18,2,20150426,18,4000,1
4389,45714,A03,25,63,20150216,12,2200,1
12074,44155,A03,895,52,20150921,21,6000,2
10833,47138,A03,467,65,20150923,20,1060,1
11541,73825,A03,81,107,20150824,19,4980,1
4334,17617,A02,855,7,20150109,10,9548,434
12326,294305,A02,1619,107,20150725,18,1700,1
3450,144668,A03,683,407,20150217,13,4900,1
9405,43879,A03,895,51,20150909,13,1000,1
11290,135175,A03,505,337,20150719,15,1920,4
963,24533,A02,1028,7,20150227,13,8000,2
8971,69499,A02,1319,8,20150131,16,7900,1
1570,249834,A01,479,2,20150627,16,10000,1
2953,162186,A03,814,319,20150429,17,2600,1
4468,73500,A03,516,107,20150811,19,1480,1
5679,51414,A03,389,68,20150504,21,2000,1
12080,52947,A03,486,68,20150626,21,3480,1
12020,306793,A02,94,115,20150513,14,2600,1
15356,435870,A01,8,29,20150905,18,6700,1
13793,128761,A01,12,37,20150127,13,10000,1
11179,211783,A02,1307,57,20150807,21,3680,1
3882,150850,A02,1194,24,20150718,18,9160,2
19953,316218,A02,1163,125,20151220,14,2800,1
12923,59785,A01,215,9,20151124,19,38000,2
553,439848,A01,9,2,20150801,19,5000,1
10311,16421,A04,261,55,20150410,21,6800,2
16896,187745,A02,635,44,20150227,21,7000,1
5942,7987,A03,407,65,20151220,17,1040,1
7974,309384,A02,1049,118,20150119,17,3600,1
6824,61953,A03,895,91,20150725,11,5000,1
40,114543,A02,615,15,20150318,10,11800,1
10503,97617,A03,494,177,20150307,14,3500,1
13399,67270,A04,127,1228,20151110,23,2400,2
5255,185711,A02,1232,43,20150414,17,3170,1
5118,94751,A02,682,13,20150205,16,3000,1
4443,22440,A03,407,307,20151205,10,1900,2
4639,9520,A01,366,23,20150517,11,275400,1
14137,111053,A03,719,220,20150521,18,3400,2
5394,75341,A04,2,57,20151220,11,1100,1
9587,79498,A02,1588,9,20150821,17,2280,1
6611,136709,A03,14,340,20151024,18,1000,1
4989,188031,A02,195,44,20150516,19,9990,1
13324,229669,A02,885,75,20150106,21,5900,1
42,19888,A02,1231,7,20150126,18,3990,1
11289,22689,A03,469,310,20151222,17,2300,1
11977,5727,A01,145,26,20150514,10,96000,1
17662,14285,A02,1064,6,20150922,21,980,1
12644,71616,A02,989,8,20150528,13,3500,1
12752,30119,A01,130,20,20150112,12,331200,1
2179,22972,A01,222,40,20150406,18,50000,1
4960,51939,A04,273,3421,20150908,16,6600,3
4718,80226,A03,68,116,20150715,18,2690,1
4083,174102,A02,60,34,20151226,23,3270,3
4360,26340,A01,215,39,20150623,12,10000,1
14520,48044,A04,297,4285,20150824,14,14000,1
7030,344821,A01,14,2,20150111,20,10000,1
2971,237276,A02,1433,82,20151029,20,640,1
1174,204935,A01,210,32,20150706,14,12900,1
12950,145155,A01,61,37,20150824,16,26000,1
7974,160094,A02,1442,28,20151130,19,4950,1
8480,68468,A02,872,7,20151224,21,10000,1
2835,44183,A01,200,14,20150327,16,556000,1
11524,74275,A03,895,107,20150910,19,1000,1
2110,49509,A01,522,4,20150313,12,535500,1
4990,31599,A03,407,18,20150120,15,1040,1
15740,61381,A04,270,81,20151017,21,1700,1
9271,16301,A02,936,7,20141231,20,9900,1
17395,61450,A03,486,88,20150225,16,3050,1
13797,122518,A03,776,258,20150131,10,500,1
14384,312821,A02,586,120,20151110,22,2000,1
11376,75783,A03,407,546,20151126,22,2990,1
17398,94628,A03,61,162,20150812,21,1995,1
17673,63213,A03,508,94,20150816,14,300,1
9192,312999,A01,112,29,20151128,20,28800,1
588,196303,A02,2,49,20150824,21,6900,1
19339,218713,A02,679,67,20150811,13,360,1
9698,190884,A02,601,45,20151113,11,49900,1
3849,272309,A02,1517,96,20150620,19,18160,1
4389,46303,A03,81,63,20150909,19,4990,1
1901,6778,A03,478,40,20151118,20,2500,1
291,411333,A01,71,2,20151029,16,4000,2
15676,149693,A03,469,540,20150609,22,3480,2
6215,154990,A02,251,25,20150718,14,3500,1
9677,107523,A02,786,13,20151023,17,5304,298
5264,30000,A04,62,2734,20150612,9,1800,1
6239,26192,A03,42,11,20150706,21,1490,1
2238,40415,A02,196,7,20150613,19,6800,1
9749,156819,A02,195,25,20151112,20,4500,1
5635,149085,A03,424,536,20150425,18,5940,6
4057,159454,A03,542,307,20150905,19,12900,1
476,96020,A02,1221,13,20150303,15,3980,1
7209,130236,A02,251,16,20150908,12,3000,1
11543,226195,A02,1296,72,20150714,17,5980,1
6289,30073,A04,137,4323,20150612,20,1000,1
4973,357229,A01,19,1,20150103,15,5500,1
3498,99049,A01,420,14,20150813,11,79000,1
19655,148852,A03,405,535,20150715,20,990,1
2328,204862,A01,125,15,20150624,19,3000,1
18644,41984,A01,189,20,20151104,15,308000,1
5787,73667,A02,847,8,20150915,15,13640,1
373,34045,A02,1225,7,20150503,16,1550,1
5636,192982,A02,1442,47,20150602,19,2160,1
11532,42143,A04,315,4180,20150802,14,2500,1
4792,227462,A02,1194,73,20150620,14,6300,1
4149,105676,A02,8,13,20150911,14,1680,1
17754,183628,A02,1319,41,20150505,12,10900,1
1171,63434,A02,1432,7,20151119,15,980,1
6048,239208,A02,1437,83,20150526,22,2880,1
17104,105637,A01,15,4,20151111,17,6200,1
902,95492,A02,120,13,20150218,16,1300,1
8498,153395,A03,507,294,20150902,17,3000,6
7914,12988,A04,126,1301,20150322,21,1500,1
12864,182497,A02,1440,40,20151024,15,2880,2
6195,77136,A02,1109,9,20150417,13,2000,1
329,108935,A02,1442,13,20151123,14,3780,1
16742,25886,A04,297,1674,20150525,15,1900,1
12010,240418,A01,124,4,20150705,19,24500,1
15943,152400,A03,630,291,20150114,16,8900,1
1807,139967,A01,18,25,20150404,10,2000,2
3646,326570,A01,210,7,20151121,15,39900,1
3960,51031,A03,66,68,20150421,17,3390,1
3537,412819,A01,18,18,20151107,17,10000,1
4403,63327,A03,267,94,20151008,17,6186,1
5118,103210,A02,1232,13,20150725,21,3300,1
5534,44878,A01,420,47,20150827,14,26400,1
11523,289634,A02,1406,106,20150814,14,11592,1
3011,6495,A03,345,35,20151127,19,4800,1
8360,39980,A01,318,27,20150510,11,59000,1
4500,40571,A04,243,2962,20150727,13,7800,3
4080,148740,A02,871,22,20150730,19,10800,1
15411,148832,A02,245,22,20151101,20,5500,1
3278,13833,A02,1442,6,20150830,16,4960,1
14368,148224,A03,367,371,20150529,13,3990,1
3420,84059,A02,266,10,20151113,17,1500,1
8449,49285,A04,270,2408,20150829,12,1700,1
157,413204,A01,60,2,20150211,16,12500,1
5897,269548,A02,35,95,20150113,13,1640,1
14838,286765,A02,496,106,20150501,18,5300,1
2599,249581,A02,1218,88,20150102,19,7100,1
11482,222745,A02,391,70,20150329,19,200,2
10373,21760,A01,146,26,20150210,14,37000,1
6644,50468,A03,104,68,20150401,18,3990,1
5031,39343,A01,17,7,20151120,13,6000,1
4247,364205,A01,210,10,20151117,16,24900,1
2732,175819,A02,1266,37,20151121,18,5800,1
3657,32884,A02,54,7,20150425,15,990,1
1914,45772,A04,303,2057,20150816,2,900,1
5605,91483,A03,19,155,20150515,20,2980,1
8572,46544,A03,509,62,20150727,14,10500,7
10444,68016,A02,18,7,20151221,21,2600,1
11289,160453,A03,104,310,20150112,18,2990,1
8116,20464,A01,146,3,20150529,12,45000,1
8094,472147,A01,31,1,20150716,18,27500,1
12560,16095,A03,21,166,20151219,11,1480,1
5286,73584,A01,145,1,20151218,14,130000,1
5961,188351,A02,1446,44,20150803,17,3280,1
7076,15262,A01,147,12,20150618,11,83000,1
6201,50724,A01,46,1,20150115,12,12000,1
3942,126208,A03,405,272,20150221,14,2400,1
6620,170664,A02,1595,33,20150207,16,1130,1
2839,26984,A04,92,900,20150530,20,2300,1
12023,30954,A01,300,2,20150306,15,127200,1
1307,95420,A02,1620,13,20150217,14,2000,1
17440,138593,A03,486,345,20150417,17,3480,1
14290,413531,A01,106,29,20150929,20,4200,1
7279,99617,A03,509,183,20150706,19,2000,1
9729,221482,A02,210,69,20150926,19,5000,1
11714,271358,A02,584,96,20150227,20,2000,1
16594,65575,A02,1445,7,20151204,19,4200,1
17887,436435,A01,31,20,20150920,18,6000,1
751,282854,A02,223,104,20151104,18,3880,1
34,44698,A03,392,56,20150506,12,1000,1
12886,274090,A02,1300,97,20150307,18,2520,2
5974,162111,A03,304,319,20150321,14,1000,1
17016,99670,A03,895,183,20150714,18,3000,3
9487,40441,A01,292,2,20150728,17,60000,1
10953,124421,A03,410,492,20150805,14,1990,1
10469,40953,A01,219,2,20150908,15,64000,1
12451,168380,A01,215,15,20150728,13,19900,1
7659,190028,A02,1502,45,20150705,16,48700,1
13594,276127,A01,486,37,20150505,12,2100,1
16608,226425,A02,337,72,20150929,15,5000,1
4101,70484,A03,494,107,20150413,18,3450,1
937,24607,A03,426,348,20151111,10,890,1
1629,300663,A02,47,112,20150224,19,3980,2
16193,129442,A03,493,506,20150402,11,990,1
11516,271446,A02,1433,96,20150307,23,1670,1
158,100173,A03,285,183,20150921,14,4980,1
3409,272089,A02,1433,96,20150523,13,2100,1
6665,61319,A04,133,4045,20151016,18,3500,1
15066,149177,A02,218,23,20150727,20,1450,1
10547,120476,A03,403,479,20150711,14,1290,1
16809,384428,A01,19,30,20150807,18,2980,1
17754,141091,A03,84,356,20150301,14,7990,1
13377,11365,A01,218,34,20150506,13,84550,1
385,108315,A02,488,13,20151109,17,5800,1
5493,110188,A02,1434,13,20151220,12,1760,1
16844,20273,A03,306,263,20151225,20,850,1
6665,33338,A02,1128,7,20150429,23,7190,1
11807,205586,A02,515,54,20150207,20,6000,2
9846,43607,A04,304,1314,20150807,22,1200,1
339,98597,A02,1058,13,20150424,22,1980,1
3179,137974,A03,470,519,20150613,22,2490,1
10028,24241,A01,200,38,20150222,15,835400,1
11906,105708,A02,767,13,20150912,15,3600,1
18340,129231,A03,43,322,20150722,13,2290,1
7096,79014,A02,1472,9,20150728,19,4900,1
18526,153321,A03,302,294,20150716,16,4150,1
1553,807,A01,148,47,20150201,13,25800,1
12608,317570,A02,1241,127,20150522,22,7600,1
1553,250188,A02,936,88,20150321,20,8900,1
2843,64097,A02,1620,7,20151124,19,8000,4
6054,39242,A04,245,4371,20150720,23,3900,1
8314,168797,A02,1236,32,20150622,20,1850,1
2203,87198,A03,285,136,20150217,19,5990,1
8714,167754,A01,206,27,20150222,15,59900,1
9530,4028,A01,145,17,20150601,10,38000,1
13541,185839,A02,586,43,20150505,12,1300,1
13094,115905,A03,68,238,20150310,19,590,1
1691,162578,A03,153,319,20151029,16,4980,1
1274,279464,A02,1064,101,20150604,20,1250,1
5742,10217,A03,42,82,20151111,17,1380,1
15363,75228,A01,486,29,20150821,11,8500,1
17396,91700,A02,1435,11,20151217,20,3980,1
6229,28834,A04,183,4198,20150607,14,800,1
3243,149350,A03,98,536,20150911,23,6200,1
15193,153542,A03,129,295,20150216,18,11980,2
4403,10838,A03,640,94,20151205,13,2500,1
7195,343881,A01,478,21,20150922,14,72000,1
15798,7355,A03,493,50,20151104,18,2100,1
10636,74274,A01,218,35,20150831,18,48300,1
2635,191066,A02,1483,45,20151211,17,15000,2
7693,144068,A01,107,47,20150103,13,19300,1
12034,72709,A02,1091,8,20150724,21,2500,1
3420,82340,A02,776,10,20150320,21,4000,2
472,157425,A02,77,25,20151224,23,5000,1
15011,309862,A02,1442,118,20150620,21,4960,1
5899,50464,A03,568,68,20150401,17,10000,1
11317,101473,A01,203,35,20150827,19,20000,2
16547,21801,A04,432,1239,20150506,11,1700,1
11707,70117,A02,1620,8,20150301,10,1000,1
9208,72564,A03,407,107,20150706,22,1360,1
7173,45410,A03,895,60,20150629,15,5000,1
11833,53799,A04,56,759,20150916,12,3800,2
8487,96544,A02,1185,13,20150314,15,880,1
15767,21146,A02,104,7,20150203,16,11900,1
5624,60767,A03,486,84,20150802,18,3280,1
6789,70449,A02,514,8,20150323,17,1000,1
1741,316489,A01,210,25,20151017,17,4970,1
4955,69165,A02,256,8,20150110,17,4800,1
6573,85843,A02,1048,11,20150304,14,6650,1
2649,14312,A03,68,127,20151105,17,990,1
9837,26531,A03,307,13,20150107,21,2590,1
17880,36922,A03,492,33,20150414,22,1960,4
1132,22088,A04,373,2950,20150507,19,3200,1
2497,131516,A03,43,328,20150420,19,700,1
5491,110130,A02,1476,13,20151219,20,23700,1
618,415007,A01,21,2,20150716,17,1050,1
2774,18033,A03,24,187,20151219,14,5980,1
5642,172348,A02,878,33,20151218,11,4200,1
18484,3122,A02,1029,3,20150406,13,11490,1
12523,319011,A02,1080,127,20151221,19,3580,1
11967,58810,A01,191,9,20150307,18,138000,1
4268,143650,A03,407,393,20150714,22,880,1
13951,149908,A02,1234,24,20150228,19,2560,1
10303,282464,A02,1298,104,20150318,21,1000,1
9135,141531,A02,1221,19,20150619,18,2500,1
15107,255030,A01,88,4,20150216,19,16900,1
10412,306865,A02,1232,115,20150528,13,2370,1
6104,144884,A03,153,409,20150207,10,1400,1
1337,23752,A02,566,7,20150220,16,35900,1
4782,69783,A03,487,107,20150310,17,4080,1
9487,42342,A02,42,7,20150626,13,6600,1
4761,257301,A01,208,2,20150602,15,63200,1
6991,257052,A02,1620,89,20151129,14,2000,1
4081,313479,A01,20,29,20150601,17,33050,1
4271,105157,A03,528,187,20150810,18,1980,1
5421,57222,A02,1301,7,20151006,21,10900,1
16828,188843,A02,35,44,20151226,16,980,1
6919,314747,A01,145,17,20150716,15,6000,1
19515,157529,A02,58,26,20150109,21,1000,1
2248,153571,A03,393,295,20150310,18,1380,1
10600,77820,A03,438,115,20150904,21,990,1
831,4682,A03,329,13,20151202,19,8760,2
16817,276562,A02,806,98,20150930,20,62500,5
1799,92612,A02,164,12,20150816,16,6450,3
6145,105685,A03,418,187,20150919,15,990,1
520,245929,A01,124,2,20151226,18,16000,1
9990,140194,A02,1437,19,20150409,13,2980,1
1080,121749,A02,529,16,20150406,17,4500,1
11525,8190,A05,76,37,20151016,23,3300,1
14142,326847,A01,145,37,20151223,16,15000,1
6012,30976,A02,1060,7,20150413,15,2000,1
3387,67479,A03,776,103,20150119,17,380,1
8514,246194,A01,19,49,20151008,15,1450,1
3817,90778,A02,1444,11,20151101,15,4800,1
596,76077,A02,1442,9,20150209,12,1300,1
9228,67856,A02,55,7,20151220,18,4800,1
10448,171073,A02,1620,33,20150420,19,6000,6
11621,345570,A01,127,37,20150801,21,65580,1
8335,43341,A03,506,48,20150920,21,1500,1
11736,469864,A01,60,29,20150801,16,16600,1
4228,97253,A02,1391,13,20150328,16,9900,1
8280,69862,A04,56,941,20151123,7,1400,1
3388,51806,A02,879,7,20150826,12,10980,366
14904,202529,A02,63,53,20150214,17,2300,1
919,18155,A04,57,4045,20150418,9,2700,3
8091,60399,A03,427,83,20151004,22,880,1
7555,75765,A03,438,545,20151218,13,990,1
5635,149085,A03,285,536,20150425,18,3390,1
664,26746,A02,1057,7,20150314,13,6950,1
5312,7246,A03,233,48,20151110,21,9990,1
3773,88384,A02,1195,11,20150707,16,1240,1
16235,148214,A02,299,21,20151113,14,9900,1
13536,318089,A02,1442,127,20150804,14,4180,1
17621,145055,A01,218,35,20150917,16,47400,1
4979,105447,A03,776,187,20150902,19,440,1
2238,60974,A01,194,2,20150710,16,38000,1
525,63785,A03,344,95,20150816,12,3790,1
945,49200,A01,238,2,20150814,15,200000,1
5902,167137,A01,14,7,20150215,13,6900,1
256,33162,A04,267,3490,20150626,22,3400,2
19817,148786,A03,107,535,20150420,21,1290,1
9492,62632,A01,420,6,20151120,13,79000,1
3323,119101,A01,569,29,20151129,15,22600,1
15769,48354,A04,96,783,20150826,13,1100,1
3485,72026,A01,165,45,20151220,17,99000,1
1849,155029,A03,511,299,20150215,20,1980,2
12499,142734,A02,13,19,20150823,16,2180,1
6775,21408,A02,1432,7,20150205,20,1590,1
15815,286042,A02,990,106,20150403,21,2980,1
268,129008,A02,1442,16,20150818,15,4180,1
3182,80519,A02,851,9,20151022,15,10100,404
13253,118831,A02,51,16,20150203,20,970,1
860,98231,A03,73,183,20150109,17,1990,1
4568,76528,A03,75,111,20150620,12,8990,1
4505,339049,A01,82,2,20151216,14,2000,2
14203,121634,A02,776,16,20150404,20,6794,860
9899,22140,A01,222,2,20151015,19,53100,1
4860,51310,A03,382,68,20150430,21,3990,1
10341,113493,A03,43,228,20151028,16,2290,1
15088,55251,A02,1423,7,20150919,17,14900,1
1227,91034,A02,495,11,20151114,16,4400,1
5702,107018,A03,15,194,20150820,17,890,1
3305,53924,A02,183,7,20150909,21,11900,1
3520,84748,A03,505,127,20150417,18,2400,6
17075,28137,A01,145,29,20150727,17,45000,1
518,154135,A03,45,296,20150916,21,2580,2
16416,314010,A01,77,20,20150212,15,450,1
6526,37215,A02,62,7,20150523,16,7680,1
6743,74118,A02,774,8,20151014,16,10000,1
5327,70106,A04,296,1597,20151124,18,5000,1
8882,92762,A01,145,37,20150914,19,45000,1
4500,46354,A04,179,2962,20150818,14,2550,3
17303,74297,A01,567,18,20150123,15,684000,1
6799,93065,A03,670,157,20150314,19,9900,1
9246,64828,A02,65,7,20151129,20,7500,3
8814,42234,A04,279,776,20150803,12,1000,1
17540,75525,A03,104,107,20151030,18,3980,1
8334,272714,A02,978,96,20150807,15,6500,1
16128,175831,A02,60,37,20151128,15,1700,1
10600,77608,A03,428,115,20150302,19,3300,1
9862,300745,A02,1187,112,20150328,17,660,1
8235,197855,A02,1183,50,20150713,18,6960,2
8301,7986,A04,179,1659,20150220,19,3250,1
4389,46131,A03,494,63,20150711,17,1350,1
6686,25874,A04,273,1393,20150525,10,2200,1
8095,12705,A04,56,3366,20150320,9,5700,3
5199,214790,A02,250,61,20150728,13,14000,1
6992,447300,A01,571,27,20150718,18,3200,1
17641,7300,A03,104,48,20151208,21,2480,1
9145,440856,A01,82,37,20150718,18,2000,1
6902,472542,A01,134,29,20150307,19,15000,1
11124,144566,A01,223,2,20150409,15,196000,1
1018,72860,A02,734,8,20150801,21,11800,1
7527,101328,A03,570,184,20150415,15,990,1
10501,161555,A03,402,317,20150802,18,10500,1
17398,221644,A02,1253,69,20151106,21,10900,1
10313,158292,A02,1211,26,20151110,16,7480,1
14867,144179,A01,451,3,20150508,16,6000,1
6472,184640,A02,1266,42,20150908,18,4300,1
5963,104563,A02,513,13,20150819,13,13500,1
10921,177352,A02,1579,39,20151220,14,15000,2
1401,63807,A02,337,7,20151121,16,600,6
5875,242896,A02,328,84,20151114,15,89000,89
3505,11191,A02,870,6,20150408,22,14000,1
6040,183253,A02,1087,40,20151212,15,680,1
11320,366918,A01,210,14,20150602,20,29900,1
6054,39242,A04,245,4371,20150720,23,4100,1
1882,15181,A02,1081,6,20151116,13,4980,1
5942,7987,A03,403,65,20151220,17,2100,1
15969,4323,A01,420,3,20150611,17,39000,1
17296,133133,A02,204,16,20151106,18,10000,1
10338,12262,A02,73,6,20150604,12,2600,1
7789,26940,A04,307,26,20150530,19,1000,1
8923,46850,A03,486,64,20150702,18,1580,1
3298,108995,A02,119,13,20151124,15,29800,1
7874,240566,A02,139,83,20150923,16,10000,1
7843,28140,A01,145,21,20150701,13,340000,1
6611,136052,A03,96,340,20150314,11,4990,1
8986,107580,A02,1232,13,20151024,22,4980,1
1228,432136,A01,18,7,20150429,19,9660,1
15943,152831,A03,541,291,20150910,19,7400,1
7382,194749,A02,934,49,20150116,23,25000,1
3703,44164,A03,21,52,20150928,14,1490,1
1097,361091,A01,55,11,20151124,19,3900,1
